| Module                                           | ABI         | Total Tests |
| [[VtsHalThermalTargetTest]]                      | armeabi-v7a | 6           |
| [[VtsHalThermalV1_0TargetTest]]                  | armeabi-v7a | 0           |
| [[VtsHalThermalV1_1TargetTest]]                  | armeabi-v7a | 0           |
| [[VtsHalThermalV2_0TargetTest]]                  | armeabi-v7a | 0           |
| [[VtsHalThreadNetworkTargetTest]]                | armeabi-v7a | 0           |
| [[VtsHalTvCecV1_0TargetTest]]                    | armeabi-v7a | 0           |
| [[VtsHalTvCecV1_1TargetTest]]                    | armeabi-v7a | 0           |
| [[VtsHalTvHdmiCecAidlTargetTest]]                | armeabi-v7a | 10          |
| [[VtsHalTvHdmiConnectionAidlTargetTest]]         | armeabi-v7a | 4           |
| [[VtsHalTvHdmiEArcAidlTargetTest]]               | armeabi-v7a | 0           |
| [[VtsHalTvInputTargetTest]]                      | armeabi-v7a | 8           |
| [[VtsHalTvInputV1_0TargetTest]]                  | armeabi-v7a | 0           |
| [[VtsHalTvTunerTargetTest]]                      | armeabi-v7a | 0           |
| [[VtsHalTvTunerV1_0TargetTest]]                  | armeabi-v7a | 0           |
| [[VtsHalTvTunerV1_1TargetTest]]                  | armeabi-v7a | 0           |
| [[VtsHalUsbGadgetV1_1HostTest]]                  | armeabi-v7a | 1           |
| [[VtsHalUsbGadgetV1_2HostTest]]                  | armeabi-v7a | 2           |
| [[VtsHalUsbGadgetV2_0HostTest]]                  | armeabi-v7a | 7           |
| [[VtsHalUsbV1_0TargetTest]]                      | armeabi-v7a | 0           |
| [[VtsHalUsbV1_1TargetTest]]                      | armeabi-v7a | 0           |
| [[VtsHalUsbV1_2TargetTest]]                      | armeabi-v7a | 0           |
| [[VtsHalUsbV1_3TargetTest]]                      | armeabi-v7a | 0           |
| [[VtsHalUwbTargetTest]]                          | armeabi-v7a | 0           |
| [[VtsHalVibratorManagerTargetTest]]              | armeabi-v7a | 0           |
| [[VtsHalVibratorTargetTest]]                     | armeabi-v7a | 0           |
| [[VtsHalVibratorV1_0TargetTest]]                 | armeabi-v7a | 0           |
| [[VtsHalVibratorV1_1TargetTest]]                 | armeabi-v7a | 0           |
| [[VtsHalVibratorV1_2TargetTest]]                 | armeabi-v7a | 0           |
| [[VtsHalVibratorV1_3TargetTest]]                 | armeabi-v7a | 0           |
| [[VtsHalVirtualizerTargetTest]]                  | armeabi-v7a | 0           |
| [[VtsHalVisualizerTargetTest]]                   | armeabi-v7a | 0           |
| [[VtsHalVolumeTargetTest]]                       | armeabi-v7a | 0           |
| [[VtsHalVrV1_0TargetTest]]                       | armeabi-v7a | 0           |
| [[VtsHalWeaverTargetTest]]                       | armeabi-v7a | 0           |
| [[VtsHalWifiApIfaceTargetTest]]                  | armeabi-v7a | 7           |
| [[VtsHalWifiApV1_0TargetTest]]                   | armeabi-v7a | 0           |
| [[VtsHalWifiApV1_4TargetTest]]                   | armeabi-v7a | 0           |
| [[VtsHalWifiApV1_5TargetTest]]                   | armeabi-v7a | 0           |
| [[VtsHalWifiChipTargetTest]]                     | armeabi-v7a | 42          |
| [[VtsHalWifiHostapdV1_0TargetTest]]              | armeabi-v7a | 0           |
| [[VtsHalWifiHostapdV1_1TargetTest]]              | armeabi-v7a | 0           |
| [[VtsHalWifiHostapdV1_2TargetTest]]              | armeabi-v7a | 0           |
| [[VtsHalWifiHostapdV1_3TargetTest]]              | armeabi-v7a | 0           |
| [[VtsHalWifiKeystoreV1_0TargetTest]]             | armeabi-v7a | 0           |
| [[VtsHalWifiNanIfaceTargetTest]]                 | armeabi-v7a | 9           |
| [[VtsHalWifiNanV1_0TargetTest]]                  | armeabi-v7a | 0           |
| [[VtsHalWifiNanV1_2TargetTest]]                  | armeabi-v7a | 0           |
| [[VtsHalWifiNanV1_4TargetTest]]                  | armeabi-v7a | 0           |
| [[VtsHalWifiNanV1_5TargetTest]]                  | armeabi-v7a | 0           |
| [[VtsHalWifiNanV1_6TargetTest]]                  | armeabi-v7a | 0           |
| [[VtsHalWifiRttControllerTargetTest]]            | armeabi-v7a | 6           |
| [[VtsHalWifiRttV1_4TargetTest]]                  | armeabi-v7a | 0           |
| [[VtsHalWifiRttV1_6TargetTest]]                  | armeabi-v7a | 0           |
| [[VtsHalWifiStaIfaceTargetTest]]                 | armeabi-v7a | 12          |
| [[VtsHalWifiSupplicantP2pIfaceTargetTest]]       | armeabi-v7a | 46          |
| [[VtsHalWifiSupplicantP2pV1_0TargetTest]]        | armeabi-v7a | 0           |
| [[VtsHalWifiSupplicantP2pV1_2TargetTest]]        | armeabi-v7a | 0           |
| [[VtsHalWifiSupplicantP2pV1_4TargetTest]]        | armeabi-v7a | 0           |
| [[VtsHalWifiSupplicantStaIfaceTargetTest]]       | armeabi-v7a | 39          |
| [[VtsHalWifiSupplicantStaNetworkTargetTest]]     | armeabi-v7a | 58          |
| [[VtsHalWifiSupplicantV1_0TargetTest]]           | armeabi-v7a | 0           |
| [[VtsHalWifiSupplicantV1_1TargetTest]]           | armeabi-v7a | 0           |
| [[VtsHalWifiSupplicantV1_2TargetTest]]           | armeabi-v7a | 0           |
| [[VtsHalWifiSupplicantV1_3TargetTest]]           | armeabi-v7a | 0           |
| [[VtsHalWifiSupplicantV1_4TargetTest]]           | armeabi-v7a | 0           |
| [[VtsHalWifiV1_0TargetTest]]                     | armeabi-v7a | 0           |
| [[VtsHalWifiV1_1TargetTest]]                     | armeabi-v7a | 0           |
| [[VtsHalWifiV1_2TargetTest]]                     | armeabi-v7a | 0           |
| [[VtsHalWifiV1_3TargetTest]]                     | armeabi-v7a | 0           |
| [[VtsHalWifiV1_4TargetTest]]                     | armeabi-v7a | 0           |
| [[VtsHalWifiV1_5TargetTest]]                     | armeabi-v7a | 0           |
| [[VtsHalWifiV1_6TargetTest]]                     | armeabi-v7a | 0           |
| [[VtsHidlAllocatorV1_0TargetTest]]               | armeabi-v7a | 3           |
| [[VtsPerfettoTestCases]]                         | armeabi-v7a | 1           |
| [[VtsVendorAtomHostJavaTest]]                    | armeabi-v7a | 3           |
| [[binderDriverInterfaceTest]]                    | armeabi-v7a | 17          |
| [[binderDriverInterfaceTest_IPC_32]]             | armeabi-v7a | 1           |
| [[binderLibTest]]                                | armeabi-v7a | 56          |
| [[binderLibTest_IPC_32]]                         | armeabi-v7a | 1           |
| [[binderRpcTest]]                                | armeabi-v7a | 24636       |
| [[binderRpcTestNoKernel]]                        | armeabi-v7a | 24636       |
| [[binderRpcTestSingleThreaded]]                  | armeabi-v7a | 24636       |
| [[binderRpcTestSingleThreadedNoKernel]]          | armeabi-v7a | 24636       |
| [[binderRpcWireProtocolTest]]                    | armeabi-v7a | 6           |
| [[binderSafeInterfaceTest]]                      | armeabi-v7a | 17          |
| [[binderStabilityTest]]                          | armeabi-v7a | 10          |
| [[bpf_module_test]]                              | armeabi-v7a | 2           |
| [[dmabufheap]]-vts-unit-tests                    | armeabi-v7a | 1           |
| [[drop_caches_test]]                             | armeabi-v7a | 1           |
| [[fiemap_writer_test]]                           | armeabi-v7a | 24          |
| [[fmq_test]]                                     | armeabi-v7a | 4           |
| [[hidl_test_java]]                               | armeabi-v7a | 9           |
| [[libbinder_ndk_unit_test]]                      | armeabi-v7a | 42          |
| [[memunreachable_binder_test]]                   | armeabi-v7a | 1           |
| [[netd_integration_test]]                        | armeabi-v7a | 236         |
| [[vts_compatibilityMatrix_validate_test]]        | armeabi-v7a | 1           |
| [[vts_core_liblp_test]]                          | armeabi-v7a | 74          |
| [[vts_core_meminfo_test]]                        | armeabi-v7a | 5           |
| [[vts_defaultPermissions_validate_test]]         | armeabi-v7a | 1           |
| [[vts_dlkm_partition_test]]                      | armeabi-v7a | 1           |
| [[vts_fs_test]]                                  | armeabi-v7a | 4           |
| [[vts_generic_boot_image_test]]                  | armeabi-v7a | 2           |
| [[vts_gki_compliance_test]]                      | armeabi-v7a | 4           |
| [[vts_gsi_boot_test]]                            | armeabi-v7a | 4           |
| [[vts_halManifest_validate_test]]                | armeabi-v7a | 1           |
| [[vts_ibase_test]]                               | armeabi-v7a | 7           |
| [[vts_kernel_checkpoint_test]]                   | armeabi-v7a | 3           |
| [[vts_kernel_encryption_test]]                   | armeabi-v7a | 14          |
| [[vts_kernel_fuse_bpf_test]]                     | armeabi-v7a | 1           |
| [[vts_kernel_isa_test]]                          | armeabi-v7a | 1           |
| [[vts_kernel_loopconfig_test]]                   | armeabi-v7a | 2           |
| [[vts_kernel_net_tests]]                         | armeabi-v7a | 645         |
| [[vts_kernel_proc_file_api_test]]                | armeabi-v7a | 66          |
| [[vts_kernel_proc_sysrq_trigger_test]]           | armeabi-v7a | 1           |
| [[vts_kernel_toolchain]]                         | armeabi-v7a | 5           |
| [[vts_kernel_tun_test]]                          | armeabi-v7a | 4           |
| [[vts_libdm_test]]                               | armeabi-v7a | 23          |
